Ensembl.ID	Location	Approved.Symbol	Mim.Number	Gene.Name	Phenotypes	Panels	From.Omim	From.PanelApp	Inheritance	Publications	Aliases
ENSG00000139193	chr12:6444866-6451717	CD27	186711	CD27 antigen	"Lymphoproliferative syndrome 2, 615122 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"S152, Tp55"
ENSG00000198087	chr6:47477745-47627262	CD2AP	604241	CD2-associated protein	"Glomerulosclerosis, focal segmental, 3, 607832 (3)"		TRUE	FALSE			
ENSG00000167775	chr19:8302126-8308357	CD320	606475	CD320 molecule	"Methylmalonic aciduria, transient, due to transcobalamin receptor defect, 613646 (3)"		TRUE	FALSE			
ENSG00000135218	chr7:80602206-80679276	CD36	173510	CD36 antigen (collagen type I)	"{Coronary heart disease, susceptibility to, 7}, 610938 (3); {Malaria, cerebral, susceptibility to}, 611162 (3); Platelet glycoprotein IV deficiency, 608404 (3), Autosomal recessive; {Malaria, cerebral, reduced risk of}, 611162 (3)"		TRUE	FALSE			
ENSG00000167286	chr11:118338953-118342704	CD3D	186790	"CD3D antigen, delta polypeptide (TiT3 complex)"	"Immunodeficiency 19, 615617 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	
ENSG00000198851	chr11:118304729-118316172	CD3E	186830	"CD3E antigen, epsilon polypeptide (TiT3 complex)"	"Immunodeficiency 18, SCID variant, 615615 (3), Autosomal recessive; Immunodeficiency 18, 615615 (3), Autosomal recessive"	"ClinGen Gene Validity Curations, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	
ENSG00000160654	chr11:118344343-118355160	CD3G	186740	"CD3G antigen, gamma polypeptide (TiT3 complex)"	"Immunodeficiency 17, CD3 gamma deficient, 615607 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	
ENSG00000010610	chr12:6789527-6820798	CD4	186940	CD4 antigen (p55)	"OKT4 epitope deficiency, 613949 (3)"		TRUE	FALSE			
ENSG00000101017	chr20:46118241-46129857	CD40	109535	CD40 antigen	"Immunodeficiency with hyper-IgM, type 3, 606843 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"p50, Bp50"
ENSG00000102245	chrX:136648157-136660389	CD40LG	300386	"Tumor necrosis factor ligand superfamily, member 5"	"Immunodeficiency, X-linked, with hyper-IgM, 308230 (3), X-linked recessive"	Severe Paediatric Disorders	TRUE	TRUE	"X-LINKED: hemizygous mutation in males, biallelic mutations in females"	30847515	"CD40L, TRAP, gp39, hCD40L, CD154"
ENSG00000196352	chr1:207321673-207360965	CD55	125240	CD55 antigen (blood group Cromer)	"[Blood group Cromer], 613793 (3), Autosomal recessive; Complement hyperactivation, angiopathic thrombosis, and protein-losing enteropathy, 226300 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"CR, TC, CROM"
ENSG00000085063	chr11:33703009-33736478	CD59	107271	CD59 antigen (p18-20)	"Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy, 612300 (3), Autosomal recessive"	"Severe Paediatric Disorders, Cytopenias and congenital anaemias, Hereditary neuropathy"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"24382084, 23149847, 1382994"	"16.3A5, EJ16, EJ30, EL32, G344, p18-20"
ENSG00000125726	chr19:6581647-6591149	CD70	602840	CD70 molecule	"Lymphoproliferative syndrome 3, 618261 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	CD27L
ENSG00000105369	chr19:41877278-41881371	CD79A	112205	CD79A antigen (immunoglobulin-associated alpha)	"Agammaglobulinemia 3, 613501 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	MB-1
ENSG00000007312	chr17:63928739-63932330	CD79B	147245	CD79B antigen	"Agammaglobulinemia 6, 612692 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	B29
ENSG00000110651	chr11:2376179-2397401	CD81	186845	CD81 antigen (target of antiproliferative antibody-1)	"Immunodeficiency, common variable, 6, 613496 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"TAPA-1, TSPAN28"
ENSG00000153563	chr2:86784604-86808395	CD8A	186910	"CD8 antigen, alpha polypeptide  (p32)"	"CD8 deficiency, familial, 608957 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	
ENSG00000153283	chr3:111542117-111665995	CD96	606037	CD96 antigen	"C syndrome, 211750 (3), Autosomal dominant"		TRUE	FALSE			
ENSG00000140326	chr15:42723543-42737132	CDAN1	607465	Codanin 1	"Dyserythropoietic anemia, congenital, type Ia, 224120 (3), Autosomal recessive"	"Severe Paediatric Disorders, Cytopenias and congenital anaemias, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"30786798, 29668551, 29599085"	"CDA-I, CDAI"
ENSG00000079335	chr1:100345000-100520280	CDC14A	603504	Cell division cycle 14A	"Deafness, autosomal recessive 32, with or without immotile sperm, 608653 (3), Autosomal recessive"		TRUE	FALSE			
ENSG00000070831	chr1:22052708-22101359	CDC42	116952	"Cell division cycle 42 (GTP-binding protein, 25kD)"	"Takenouchi-Kosaki syndrome, 616737 (3), Autosomal dominant"	"Severe Paediatric Disorders, Bleeding and platelet disorders, Intellectual disability"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	"26708094, 26386261, 29394990"	"G25K, CDC42Hs"
ENSG00000093009	chr22:19479293-19520611	CDC45	603465	"Cell division cycle 45, S. Cerevisiae, homolog-like"	"Meier-Gorlin syndrome 7, 617063 (3), Autosomal recessive"	"DDG2P, Craniosynostosis, Skeletal dysplasia, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	27374770	
ENSG00000134371	chr1:193122030-193254814	CDC73	607393	Cell division cycle 73	"Parathyroid adenoma with cystic changes, 145001 (3), Autosomal dominant; Hyperparathyroidism-jaw tumor syndrome, 145001 (3), Autosomal dominant; Parathyroid carcinoma, 608266 (3); Hyperparathyroidism, familial primary, 145000 (3), Autosomal dominant"	"Endocrine neoplasms, Multiple endocrine tumours, Adult solid tumours for rare disease, Familial hyperparathyroidism"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"		"parafibromin, FIHP"
ENSG00000144354	chr2:173354860-173368996	CDCA7	609937	Cell division cycle-associated 7	"Immunodeficiency-centromeric instability-facial anomalies syndrome 3, 616910 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"FLJ14736, JPO1"
ENSG00000039068	chr16:68737291-68835536	CDH1	192090	Cadherin-1 (E-cadherin; uvomorulin)	"Endometrial carcinoma, somatic, 608089 (3); {Prostate cancer, susceptibility to}, 176807 (3), Somatic mutation, Autosomal dominant; Blepharocheilodontic syndrome 1, 119580 (3), Autosomal dominant; Gastric cancer, hereditary diffuse, with or without cleft lip and/or palate, 137215 (3), Autosomal dominant; {Breast cancer, lobular}, 114480 (3), Somatic mutation, Autosomal dominant; Ovarian cancer, somatic, 167000 (3)"	"Clefting, DDG2P, Adult solid tumours for rare disease, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"		"uvomorulin, CD324"
ENSG00000140937	chr16:64943752-65126111	CDH11	600023	"Cadherin-11 (OB-cadherin, osteoblast)"	"Elsahy-Waters syndrome, 211380 (3), Autosomal recessive"	"Severe Paediatric Disorders, Intellectual disability"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"OB, CAD11"
ENSG00000129910	chr16:89171747-89195491	CDH15	114019	"Cadherin-15, M-cadherin (myotubule)"	"Mental retardation, autosomal dominant 3, 612580 (3)"	"Severe Paediatric Disorders, Intellectual disability"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"		
ENSG00000170558	chr18:27932877-28177129	CDH2	114020	"Cadherin 2 (cadherin, neuronal type; N-cadherin)"	"Arrhythmogenic right ventricular dysplasia, familial, 14, 618920 (3), Autosomal dominant; Agenesis of corpus callosum, cardiac, ocular, and genital syndrome, 618929 (3), Autosomal dominant"	"Arrhythmogenic cardiomyopathy, Cardiomyopathies - including childhood onset"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"		"CDHN, CD325"
ENSG00000107736	chr10:71396919-71815946	CDH23	605516	Cadherin-23 (otocadherin)	"{Pituitary adenoma 5, multiple types}, 617540 (3), Autosomal dominant; Deafness, autosomal recessive 12, 601386 (3), Autosomal recessive; Usher syndrome, type 1D/F digenic, 601067 (3), Autosomal recessive, Digenic recessive; Usher syndrome, type 1D, 601067 (3), Autosomal recessive, Digenic recessive"	"DDG2P, Hearing loss, Retinal disorders, ClinGen Gene Validity Curations, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	CDHR23
ENSG00000062038	chr16:68644913-68727572	CDH3	114021	Cadherin-3 (P-cadherin)	"Ectodermal dysplasia, ectrodactyly, and macular dystrophy, 225280 (3), Autosomal recessive; Hypotrichosis, congenital, with juvenile macular dystrophy, 601553 (3), Autosomal recessive"	"DDG2P, Retinal disorders, Skeletal dysplasia, Severe Paediatric Disorders, Ectodermal dysplasia without a known gene mutation, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"CDHP, PCAD"
ENSG00000148600	chr10:84194536-84219620	CDHR1	609502	"Cadherin-related family, member 1"	"Cone-rod dystrophy 15, 613660 (3), Autosomal recessive; Retinitis pigmentosa 65, 613660 (3), Autosomal recessive"	Retinal disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"KIAA1775, CORD15, RP65"
ENSG00000186073	chr15:36579610-36810247	CDIN1	615626	Chromosome 15 open reading fram 41	"Dyserythropoietic anemia, congenital, type Ib, 615631 (3), Autosomal recessive"	"Severe Paediatric Disorders, Cytopenias and congenital anaemias"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"23716552, 16643452, 9220189"	"HH114, MGC11326, FLJ22851"
ENSG00000185324	chr16:89686611-89696353	CDK10	603464	Cyclin-dependent kinase 10	"Al Kaissi syndrome, 617694 (3), Autosomal recessive"	"Severe Paediatric Disorders, Intellectual disability"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	PISSLRE
ENSG00000065883	chr7:39949663-40099579	CDK13	603309	Cyclin-dependent kinase 13	"Congenital heart defects, dysmorphic facial features, and intellectual developmental disorder, 617360 (3), Autosomal dominant"	"DDG2P, Malformations of cortical development, Intellectual disability, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	27479907	"CHED, CDC2L, KIAA1791"
ENSG00000155111	chr6:110609977-110816530	CDK19	614720	Cyclin-dependent kinase 19	"Developmental and epileptic encephalopathy 87, 618916 (3), Autosomal dominant"		TRUE	FALSE			
ENSG00000136861	chr9:120388874-120580166	CDK5RAP2	608201	CDK5 regulatory subunit-associated protein 2	"Microcephaly 3, primary, autosomal recessive, 604804 (3), Autosomal recessive"	"Severe Paediatric Disorders, Severe microcephaly, Intellectual disability"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"C48, FLJ10867, CEP215"
ENSG00000132964	chr13:26254124-26405237	CDK8	603184	Cyclin-dependent kinase 8	"Intellectual developmental disorder with hypotonia and behavioral abnormalities, 618748 (3), Autosomal dominant"	"Severe Paediatric Disorders, Intellectual disability, DDG2P"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	30905399	K35
ENSG00000008086	chrX:18425607-18653628	CDKL5	300203	Cyclin-dependent kinase-like 5 (serine/threonine protein kinase 9)	"Developmental and epileptic encephalopathy 2, 300672 (3), X-linked dominant"	"Intellectual disability, Severe Paediatric Disorders, DDG2P, Fetal anomalies"	TRUE	TRUE	"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)"		"EIEE2, CFAP247"
ENSG00000111276	chr12:12717367-12722368	CDKN1B	600778	"Cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	"Multiple endocrine neoplasia, type IV, 610755 (3), Autosomal dominant"	"Endocrine neoplasms, Multiple endocrine tumours, Familial hyperparathyroidism, Adult solid tumours for rare disease"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"		"KIP1, P27KIP1"
ENSG00000129757	chr11:2883217-2885774	CDKN1C	600856	"Cyclin-dependent kinase inhibitor 1C (p57, Kip2)"	"IMAGE syndrome, 614732 (3), Autosomal dominant; Beckwith-Wiedemann syndrome, 130650 (3), Autosomal dominant"	"Growth failure in early childhood, Congenital adrenal hypoplasia, Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders, Clefting, DDG2P, Familial rhabdomyosarcoma, IUGR and IGF abnormalities, Skeletal dysplasia, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)"	"8841187, 20803657, 8841187, 20301568, 22585446, 26077438, 9341892, 26077438, 11414765, 10424811"	"P57, KIP2"
ENSG00000064309	chr11:125956812-126063334	CDON	608707	Cell adhesion molecule-related/downregulated by oncogenes	"Holoprosencephaly 11, 614226 (3), Autosomal dominant"	"Holoprosencephaly, DDG2P, Intellectual disability, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	21802063	"ORCAM, CDO, CDON1"
ENSG00000204539	chr6:31115086-31120445	CDSN	602593	Corneodesmosin	"Hypotrichosis 2, 146520 (3), Autosomal dominant; Peeling skin syndrome 1, 270300 (3), Autosomal recessive"	"Non-syndromic hypotrichosis, Severe Paediatric Disorders, Epidermolysis bullosa and congenital skin fragility"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	"12754508, 23746069, 22875505"	D6S586E
ENSG00000167513	chr16:88803788-88809257	CDT1	605525	Chromatin licensing and DNA replication factor 1	"Meier-Gorlin syndrome 4, 613804 (3), Autosomal recessive"	"DDG2P, IUGR and IGF abnormalities, Severe microcephaly, Skeletal dysplasia, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	21358632	"DUP, RIS2"
ENSG00000213892	chr19:44699150-44710717	CEACAM16	614591	CEA cell adhesion molecule 16	"Deafness, autosomal recessive 113, 618410 (3), Autosomal recessive; Deafness, autosomal dominant 4B, 614614 (3), Autosomal dominant"	Hearing loss	TRUE				
ENSG00000092067	chr14:23117305-23119254	CEBPE	600749	"CCAAT/enhancer-binding protein (C/EBP), epsilon"	"Specific granule deficiency, 245480 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	CRP1
ENSG00000170835	chr9:133061980-133071860	CEL	114840	Carboxyl-ester lipase (bile-salt stimulated lipase)	"Maturity-onset diabetes of the young, type VIII, 609812 (3), Autosomal dominant"	"Familial diabetes, Monogenic diabetes"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	"16369531, 24062244, 21784842, 19760265, 18544793, 17989309, 27650499, 25160620"	"BSSL, MODY8"
ENSG00000142615	chr1:15456731-15472090	CELA2A	609443	"Chymotrypsin-like elastase family, member 2A"	"Abdominal obesity-metabolic syndrome 4, 618620 (3), Autosomal dominant"		TRUE	FALSE			
ENSG00000117724	chr1:214603194-214664570	CENPF	600236	"Centromere autoantigen F, 400kD"	"Stromme syndrome, 243605 (3), Autosomal recessive"	"Ophthalmological ciliopathies, Limb disorders, Neurological ciliopathies, Renal ciliopathies, Hydrocephalus, Intellectual disability, Severe microcephaly, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	25564561	hcp-1
ENSG00000151849	chr13:24882278-24922888	CENPJ	609279	Centromeric protein J	"Microcephaly 6, primary, autosomal recessive, 608393 (3), Autosomal recessive; ?Seckel syndrome 4, 613676 (3), Autosomal recessive"	"DDG2P, IUGR and IGF abnormalities, Severe microcephaly, Intellectual disability, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"CPAP, BM032, LAP, LIP1, Sas-4, SASS4, SCKL4"
ENSG00000116198	chr1:3812085-3857232	CEP104	616690	"Centrosomal protein, 104kD"	"Joubert syndrome 25, 616781 (3), Autosomal recessive"	"DDG2P, Ophthalmological ciliopathies, Renal ciliopathies, Neurological ciliopathies, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	26477546	"GlyBP, RP1-286D6.4, CFAP256, ROC22, JBTS25"
ENSG00000154240	chr17:65635536-66192132	CEP112	618980	"Centrosomal protein, 112kD"	"Spermatogenic failure 44, 619044 (3), Autosomal recessive"		TRUE	FALSE			
ENSG00000168944	chr5:123344889-123423841	CEP120	613446	"Centrosomal protein, 120kD"	"Joubert syndrome 31, 617761 (3), Autosomal recessive; Short-rib thoracic dysplasia 13 with or without polydactyly, 616300 (3), Autosomal recessive"	"Skeletal ciliopathies, Skeletal dysplasia, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	27208211	FLJ36090
ENSG00000174799	chr4:55948807-56033360	CEP135	611423	"Centrosomal protein, 135kD"	"Microcephaly 8, primary, autosomal recessive, 614673 (3), Autosomal recessive"	"Severe Paediatric Disorders, Severe microcephaly, Intellectual disability"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	FLJ13621
ENSG00000103995	chr15:48662533-48811903	CEP152	613529	"Centrosomal protein, 152kD"	"Microcephaly 9, primary, autosomal recessive, 614852 (3), Autosomal recessive; Seckel syndrome 5, 613823 (3), Autosomal recessive"	"DDG2P, Severe microcephaly, Intellectual disability, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"KIAA0912, SCKL5, MCPH9"
ENSG00000110274	chr11:117316345-117413265	CEP164	614848	"Centrosomal protein, 164kD"	"Nephronophthisis 15, 614845 (3), Autosomal recessive"	"Ophthalmological ciliopathies, Renal ciliopathies, Cystic kidney disease, Retinal disorders, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"KIAA1052, NPHP15"
ENSG00000174007	chr3:196706276-196712249	CEP19	615586	"Centrosomal protein, 19kD"	"Morbid obesity and spermatogenic failure, 615703 (3), Autosomal recessive"	Severe early-onset obesity	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"29127258, 24268657"	MGC14126
ENSG00000126001	chr20:35455136-35519279	CEP250	609689	"Centrosomal protein, 250kD"	"Cone-rod dystrophy and hearing loss 2, 618358 (3), Autosomal recessive"		TRUE	FALSE			
ENSG00000198707	chr12:88049012-88142215	CEP290	610142	"Centrosomal protein, 290kD"	"?Bardet-Biedl syndrome 14, 615991 (3), Autosomal recessive; Leber congenital amaurosis 10, 611755 (3); Senior-Loken syndrome 6, 610189 (3), Autosomal recessive; Meckel syndrome 4, 611134 (3), Autosomal recessive; Joubert syndrome 5, 610188 (3), Autosomal recessive"	"DDG2P, Ophthalmological ciliopathies, Renal ciliopathies, Neurological ciliopathies, Retinal disorders, Intellectual disability, Skeletal dysplasia, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"KIAA0373, FLJ13615, 3H11Ag, rd16, NPHP6, JBTS5, SLSN6, LCA10, MKS4, BBS14, CT87, POC3"
ENSG00000106477	chr7:130393770-130441056	CEP41	610523	"Centrosomal protein, 41kD"	"Joubert syndrome 15, 614464 (3), Autosomal recessive"	"DDG2P, Ophthalmological ciliopathies, Neurological ciliopathies, Renal ciliopathies, Intellectual disability, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	22246503	"DKFZp762H1311, FLJ22445, JBTS15"
ENSG00000138180	chr10:93496611-93529093	CEP55	610000	"Centrosomal protein, 55kD"	"Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly, 236500 (3), Autosomal recessive"	CAKUT	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"30622327, 28264986, 32100459, 28295209"	"FLJ10540, CT111"
ENSG00000166037	chr11:95790470-95832692	CEP57	607951	Centrosomal protein 57kD	"Mosaic variegated aneuploidy syndrome 2, 614114 (3), Autosomal recessive"	"Severe Paediatric Disorders, Intellectual disability, DDG2P, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"21552266, 12116237"	"Translokin, TSP57, KIAA0092"
ENSG00000148019	chr9:78236074-78279689	CEP78	617110	"Centrosomal protein, 78kD"	"Cone-rod dystrophy and hearing loss, 617236 (3), Autosomal recessive"	"ClinGen Gene Validity Curations, Retinal disorders, Hearing loss"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"28005958, 27588451, 27588452, 27627988"	FLJ12643
ENSG00000173588	chr12:94265651-94460615	CEP83	615847	"Centrosomal protein, 83kD"	"Nephronophthisis 18, 615862 (3), Autosomal recessive"	"DDG2P, Renal ciliopathies, Cystic kidney disease, Hydrocephalus, Intellectual disability, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"NY-REN-58, NPHP18"
ENSG00000111860	chr6:118460771-118710100	CEP85L	618865	CEP85-like protein	"Lissencephaly 10, 618873 (3), Autosomal dominant"		TRUE	FALSE			
ENSG00000188452	chr2:181536671-181657104	CERKL	608381	Ceramide kinase-like	"Retinitis pigmentosa 26, 608380 (3)"	Retinal disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		
ENSG00000154227	chr15:100400394-100544981	CERS3	615276	Ceramide synthase 3	"Ichthyosis, congenital, autosomal recessive 9, 615023 (3), Autosomal recessive"	Autosomal recessive congenital ichthyosis	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"23754960, 23549421"	MGC27091
ENSG00000113163	chr5:75368485-75511980	CERT1	604677	COL4A3-binding protein (ceramide transporter)	"Mental retardation, autosomal dominant 34, 616351 (3), Autosomal dominant"	"Severe Paediatric Disorders, Intellectual disability, DDG2P, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	25533962	"GPBP, STARD11, CERT"
ENSG00000198848	chr16:55802850-55833126	CES1	114835	Carboxylesterase 1 (monocyte/macrophage serine esterase 1)	"Drug metabolism, altered, CES1-related, 618057 (3), Autosomal dominant"		TRUE	FALSE			
ENSG00000087237	chr16:56961949-56983844	CETP	118470	"Cholesteryl ester transfer protein, plasma"	"[High density lipoprotein cholesterol level QTL 10], 143470 (3), Autosomal dominant; Hyperalphalipoproteinemia, 143470 (3), Autosomal dominant"		TRUE	FALSE			
ENSG00000158023	chr12:121918591-122003918	CFAP251	618146	WD repeat-containing protein 66	"Spermatogenic failure 33, 618152 (3), Autosomal recessive"		TRUE	FALSE			
ENSG00000159079	chr21:32599353-32612376	CFAP298	615494	Cilia- and flagella-associated protein 298	"Ciliary dyskinesia, primary, 26, 615500 (3), Autosomal recessive"	"Respiratory ciliopathies including non-CF bronchiectasis, Laterality disorders and isomerism"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"FLJ20467, FBB18, CILD26, Kur"
ENSG00000137691	chr11:102047408-102084553	CFAP300	618058	Cilia- and flagella-associated protein 300	"Ciliary dyskinesia, primary, 38, 618063 (3), Autosomal recessive"	"DDG2P, Respiratory ciliopathies including non-CF bronchiectasis, Laterality disorders and isomerism, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	29727692	MGC13040
ENSG00000160226	chr21:44328943-44339416	CFAP410	603191	Cilia and flagella-associated protein 410	"Spondylometaphyseal dysplasia, axial, 602271 (3), Autosomal recessive; Retinal dystrophy with macular staphyloma, 617547 (3), Autosomal recessive"	"Severe Paediatric Disorders, DDG2P, Skeletal ciliopathies, Ophthalmological ciliopathies, Skeletal dysplasia, Retinal disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"YF5, A2, LRRC76"
ENSG00000197748	chr10:104129887-104232382	CFAP43	617558	Cilia- and flagella-associated protein 43	"Hydrocephalus, normal pressure, 1, 236690 (3), Autosomal dominant; Spermatogenic failure 19, 617592 (3), Autosomal recessive"		TRUE	FALSE			
ENSG00000172361	chr18:50227192-50266494	CFAP53	614759	Coiled-coil domain-containing protein 11	"Heterotaxy, visceral, 6, autosomal recessive, 614779 (3), Autosomal recessive"	"Laterality disorders and isomerism, Fetal anomalies, Familial non syndromic congenital heart disease, Paediatric disorders - additional genes"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"PMID: 22577226, PMID: 25504577, PMID: 26531781"	FLJ32743
ENSG00000120051	chr10:104353832-104455101	CFAP58	619129	Cilia- and flagella-associated protein 58	"Spermatogenic failure 49, 619144 (3)"		TRUE	FALSE			
ENSG00000181378	chr2:219002845-219043141	CFAP65	614270	Cilia- and flagella-associated protein 65	"Spermatogenic failure 40, 618664 (3), Autosomal recessive"		TRUE	FALSE			
ENSG00000105792	chr7:90245173-90320963	CFAP69	617949	Cilia- and flagella-associated protein 69	"Spermatogenic failure 24, 617959 (3), Autosomal recessive"		TRUE	FALSE			
ENSG00000136698	chr2:130592164-130599574	CFC1	605194	Cryptic protein	"Heterotaxy, visceral, 2, autosomal, 605376 (3), Autosomal dominant"	"Paediatric disorders - additional genes, Severe Paediatric Disorders, Familial non syndromic congenital heart disease, Fetal anomalies"	TRUE	TRUE	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	"11062482, 11799476"	CRYPTIC
ENSG00000197766	chr19:859663-863640	CFD	134350	Complement factor D	"Complement factor D deficiency, 613912 (3), Autosomal recessive"	Severe Paediatric Disorders	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	ADN
ENSG00000000971	chr1:196652032-196747503	CFH	134370	Complement factor H	"Complement factor H deficiency, 609814 (3), Autosomal dominant, Autosomal recessive; {Hemolytic uremic syndrome, atypical, susceptibility to, 1}, 235400 (3), Autosomal dominant, Autosomal recessive; Basal laminar drusen, 126700 (3), Autosomal dominant; {Macular degeneration, age-related, 4}, 610698 (3)"	"Severe Paediatric Disorders, Membranoproliferative glomerulonephritis, Retinal disorders, Atypical haemolytic uraemic syndrome"	TRUE	TRUE	"BOTH monoallelic and biallelic, autosomal or pseudoautosomal"	26826462	"HUS, FHL1, ARMS1, ARMD4"
